event_id,seat_code,category,category_name,row_label,seat_number,section,price_idr,color_hex,pos_x,pos_y
1,SC1-01,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,1,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,18,0
1,SC1-02,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,2,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,36,0
1,SC1-03,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,3,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,54,0
1,SC1-04,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,4,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,72,0
1,SC1-05,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,5,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,90,0
1,SC1-06,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,6,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,108,0
1,SC1-07,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,7,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,126,0
1,SC1-08,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,8,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,144,0
1,SC1-09,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,9,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,162,0
1,SC1-10,SCVIP,"Soundcheck VIP Package (Reserved)",SC1,10,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,180,0
1,SC2-01,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,1,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,18,28
1,SC2-02,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,2,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,36,28
1,SC2-03,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,3,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,54,28
1,SC2-04,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,4,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,72,28
1,SC2-05,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,5,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,90,28
1,SC2-06,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,6,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,108,28
1,SC2-07,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,7,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,126,28
1,SC2-08,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,8,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,144,28
1,SC2-09,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,9,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,162,28
1,SC2-10,SCVIP,"Soundcheck VIP Package (Reserved)",SC2,10,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,180,28
1,SC3-01,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,1,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,18,56
1,SC3-02,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,2,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,36,56
1,SC3-03,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,3,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,54,56
1,SC3-04,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,4,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,72,56
1,SC3-05,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,5,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,90,56
1,SC3-06,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,6,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,108,56
1,SC3-07,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,7,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,126,56
1,SC3-08,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,8,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,144,56
1,SC3-09,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,9,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,162,56
1,SC3-10,SCVIP,"Soundcheck VIP Package (Reserved)",SC3,10,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,180,56
1,SC4-01,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,1,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,18,84
1,SC4-02,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,2,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,36,84
1,SC4-03,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,3,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,54,84
1,SC4-04,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,4,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,72,84
1,SC4-05,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,5,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,90,84
1,SC4-06,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,6,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,108,84
1,SC4-07,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,7,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,126,84
1,SC4-08,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,8,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,144,84
1,SC4-09,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,9,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,162,84
1,SC4-10,SCVIP,"Soundcheck VIP Package (Reserved)",SC4,10,"Soundcheck VIP Block — Lower Front",4500000,#A855F7,180,84
1,P1-001,FLOOR,"Purple Floor Standing (P1–P2)",P1,1,"Purple Floor Standing",3200000,#7C3AED,20,0
1,P1-002,FLOOR,"Purple Floor Standing (P1–P2)",P1,2,"Purple Floor Standing",3200000,#7C3AED,40,0
1,P1-003,FLOOR,"Purple Floor Standing (P1–P2)",P1,3,"Purple Floor Standing",3200000,#7C3AED,60,0
1,P1-004,FLOOR,"Purple Floor Standing (P1–P2)",P1,4,"Purple Floor Standing",3200000,#7C3AED,80,0
1,P1-005,FLOOR,"Purple Floor Standing (P1–P2)",P1,5,"Purple Floor Standing",3200000,#7C3AED,100,0
1,P1-006,FLOOR,"Purple Floor Standing (P1–P2)",P1,6,"Purple Floor Standing",3200000,#7C3AED,120,0
1,P1-007,FLOOR,"Purple Floor Standing (P1–P2)",P1,7,"Purple Floor Standing",3200000,#7C3AED,140,0
1,P1-008,FLOOR,"Purple Floor Standing (P1–P2)",P1,8,"Purple Floor Standing",3200000,#7C3AED,160,0
1,P1-009,FLOOR,"Purple Floor Standing (P1–P2)",P1,9,"Purple Floor Standing",3200000,#7C3AED,180,0
1,P1-010,FLOOR,"Purple Floor Standing (P1–P2)",P1,10,"Purple Floor Standing",3200000,#7C3AED,200,0
1,P1-011,FLOOR,"Purple Floor Standing (P1–P2)",P1,11,"Purple Floor Standing",3200000,#7C3AED,220,0
1,P1-012,FLOOR,"Purple Floor Standing (P1–P2)",P1,12,"Purple Floor Standing",3200000,#7C3AED,240,0
1,P1-013,FLOOR,"Purple Floor Standing (P1–P2)",P1,13,"Purple Floor Standing",3200000,#7C3AED,260,0
1,P1-014,FLOOR,"Purple Floor Standing (P1–P2)",P1,14,"Purple Floor Standing",3200000,#7C3AED,280,0
1,P1-015,FLOOR,"Purple Floor Standing (P1–P2)",P1,15,"Purple Floor Standing",3200000,#7C3AED,300,0
1,P1-016,FLOOR,"Purple Floor Standing (P1–P2)",P1,16,"Purple Floor Standing",3200000,#7C3AED,320,0
1,P1-017,FLOOR,"Purple Floor Standing (P1–P2)",P1,17,"Purple Floor Standing",3200000,#7C3AED,340,0
1,P1-018,FLOOR,"Purple Floor Standing (P1–P2)",P1,18,"Purple Floor Standing",3200000,#7C3AED,360,0
1,P1-019,FLOOR,"Purple Floor Standing (P1–P2)",P1,19,"Purple Floor Standing",3200000,#7C3AED,380,0
1,P1-020,FLOOR,"Purple Floor Standing (P1–P2)",P1,20,"Purple Floor Standing",3200000,#7C3AED,0,0
1,P1-021,FLOOR,"Purple Floor Standing (P1–P2)",P1,21,"Purple Floor Standing",3200000,#7C3AED,20,22
1,P1-022,FLOOR,"Purple Floor Standing (P1–P2)",P1,22,"Purple Floor Standing",3200000,#7C3AED,40,22
1,P1-023,FLOOR,"Purple Floor Standing (P1–P2)",P1,23,"Purple Floor Standing",3200000,#7C3AED,60,22
1,P1-024,FLOOR,"Purple Floor Standing (P1–P2)",P1,24,"Purple Floor Standing",3200000,#7C3AED,80,22
1,P1-025,FLOOR,"Purple Floor Standing (P1–P2)",P1,25,"Purple Floor Standing",3200000,#7C3AED,100,22
1,P1-026,FLOOR,"Purple Floor Standing (P1–P2)",P1,26,"Purple Floor Standing",3200000,#7C3AED,120,22
1,P1-027,FLOOR,"Purple Floor Standing (P1–P2)",P1,27,"Purple Floor Standing",3200000,#7C3AED,140,22
1,P1-028,FLOOR,"Purple Floor Standing (P1–P2)",P1,28,"Purple Floor Standing",3200000,#7C3AED,160,22
1,P1-029,FLOOR,"Purple Floor Standing (P1–P2)",P1,29,"Purple Floor Standing",3200000,#7C3AED,180,22
1,P1-030,FLOOR,"Purple Floor Standing (P1–P2)",P1,30,"Purple Floor Standing",3200000,#7C3AED,200,22
1,P1-031,FLOOR,"Purple Floor Standing (P1–P2)",P1,31,"Purple Floor Standing",3200000,#7C3AED,220,22
1,P1-032,FLOOR,"Purple Floor Standing (P1–P2)",P1,32,"Purple Floor Standing",3200000,#7C3AED,240,22
1,P1-033,FLOOR,"Purple Floor Standing (P1–P2)",P1,33,"Purple Floor Standing",3200000,#7C3AED,260,22
1,P1-034,FLOOR,"Purple Floor Standing (P1–P2)",P1,34,"Purple Floor Standing",3200000,#7C3AED,280,22
1,P1-035,FLOOR,"Purple Floor Standing (P1–P2)",P1,35,"Purple Floor Standing",3200000,#7C3AED,300,22
1,P1-036,FLOOR,"Purple Floor Standing (P1–P2)",P1,36,"Purple Floor Standing",3200000,#7C3AED,320,22
1,P1-037,FLOOR,"Purple Floor Standing (P1–P2)",P1,37,"Purple Floor Standing",3200000,#7C3AED,340,22
1,P1-038,FLOOR,"Purple Floor Standing (P1–P2)",P1,38,"Purple Floor Standing",3200000,#7C3AED,360,22
1,P1-039,FLOOR,"Purple Floor Standing (P1–P2)",P1,39,"Purple Floor Standing",3200000,#7C3AED,380,22
1,P1-040,FLOOR,"Purple Floor Standing (P1–P2)",P1,40,"Purple Floor Standing",3200000,#7C3AED,0,22
1,P1-041,FLOOR,"Purple Floor Standing (P1–P2)",P1,41,"Purple Floor Standing",3200000,#7C3AED,20,44
1,P1-042,FLOOR,"Purple Floor Standing (P1–P2)",P1,42,"Purple Floor Standing",3200000,#7C3AED,40,44
1,P1-043,FLOOR,"Purple Floor Standing (P1–P2)",P1,43,"Purple Floor Standing",3200000,#7C3AED,60,44
1,P1-044,FLOOR,"Purple Floor Standing (P1–P2)",P1,44,"Purple Floor Standing",3200000,#7C3AED,80,44
1,P1-045,FLOOR,"Purple Floor Standing (P1–P2)",P1,45,"Purple Floor Standing",3200000,#7C3AED,100,44
1,P1-046,FLOOR,"Purple Floor Standing (P1–P2)",P1,46,"Purple Floor Standing",3200000,#7C3AED,120,44
1,P1-047,FLOOR,"Purple Floor Standing (P1–P2)",P1,47,"Purple Floor Standing",3200000,#7C3AED,140,44
1,P1-048,FLOOR,"Purple Floor Standing (P1–P2)",P1,48,"Purple Floor Standing",3200000,#7C3AED,160,44
1,P1-049,FLOOR,"Purple Floor Standing (P1–P2)",P1,49,"Purple Floor Standing",3200000,#7C3AED,180,44
1,P1-050,FLOOR,"Purple Floor Standing (P1–P2)",P1,50,"Purple Floor Standing",3200000,#7C3AED,200,44
1,P1-051,FLOOR,"Purple Floor Standing (P1–P2)",P1,51,"Purple Floor Standing",3200000,#7C3AED,220,44
1,P1-052,FLOOR,"Purple Floor Standing (P1–P2)",P1,52,"Purple Floor Standing",3200000,#7C3AED,240,44
1,P1-053,FLOOR,"Purple Floor Standing (P1–P2)",P1,53,"Purple Floor Standing",3200000,#7C3AED,260,44
1,P1-054,FLOOR,"Purple Floor Standing (P1–P2)",P1,54,"Purple Floor Standing",3200000,#7C3AED,280,44
1,P1-055,FLOOR,"Purple Floor Standing (P1–P2)",P1,55,"Purple Floor Standing",3200000,#7C3AED,300,44
1,P1-056,FLOOR,"Purple Floor Standing (P1–P2)",P1,56,"Purple Floor Standing",3200000,#7C3AED,320,44
1,P1-057,FLOOR,"Purple Floor Standing (P1–P2)",P1,57,"Purple Floor Standing",3200000,#7C3AED,340,44
1,P1-058,FLOOR,"Purple Floor Standing (P1–P2)",P1,58,"Purple Floor Standing",3200000,#7C3AED,360,44
1,P1-059,FLOOR,"Purple Floor Standing (P1–P2)",P1,59,"Purple Floor Standing",3200000,#7C3AED,380,44
1,P1-060,FLOOR,"Purple Floor Standing (P1–P2)",P1,60,"Purple Floor Standing",3200000,#7C3AED,0,44
1,P1-061,FLOOR,"Purple Floor Standing (P1–P2)",P1,61,"Purple Floor Standing",3200000,#7C3AED,20,66
1,P1-062,FLOOR,"Purple Floor Standing (P1–P2)",P1,62,"Purple Floor Standing",3200000,#7C3AED,40,66
1,P1-063,FLOOR,"Purple Floor Standing (P1–P2)",P1,63,"Purple Floor Standing",3200000,#7C3AED,60,66
1,P1-064,FLOOR,"Purple Floor Standing (P1–P2)",P1,64,"Purple Floor Standing",3200000,#7C3AED,80,66
1,P1-065,FLOOR,"Purple Floor Standing (P1–P2)",P1,65,"Purple Floor Standing",3200000,#7C3AED,100,66
1,P1-066,FLOOR,"Purple Floor Standing (P1–P2)",P1,66,"Purple Floor Standing",3200000,#7C3AED,120,66
1,P1-067,FLOOR,"Purple Floor Standing (P1–P2)",P1,67,"Purple Floor Standing",3200000,#7C3AED,140,66
1,P1-068,FLOOR,"Purple Floor Standing (P1–P2)",P1,68,"Purple Floor Standing",3200000,#7C3AED,160,66
1,P1-069,FLOOR,"Purple Floor Standing (P1–P2)",P1,69,"Purple Floor Standing",3200000,#7C3AED,180,66
1,P1-070,FLOOR,"Purple Floor Standing (P1–P2)",P1,70,"Purple Floor Standing",3200000,#7C3AED,200,66
1,P1-071,FLOOR,"Purple Floor Standing (P1–P2)",P1,71,"Purple Floor Standing",3200000,#7C3AED,220,66
1,P1-072,FLOOR,"Purple Floor Standing (P1–P2)",P1,72,"Purple Floor Standing",3200000,#7C3AED,240,66
1,P1-073,FLOOR,"Purple Floor Standing (P1–P2)",P1,73,"Purple Floor Standing",3200000,#7C3AED,260,66
1,P1-074,FLOOR,"Purple Floor Standing (P1–P2)",P1,74,"Purple Floor Standing",3200000,#7C3AED,280,66
1,P1-075,FLOOR,"Purple Floor Standing (P1–P2)",P1,75,"Purple Floor Standing",3200000,#7C3AED,300,66
1,P1-076,FLOOR,"Purple Floor Standing (P1–P2)",P1,76,"Purple Floor Standing",3200000,#7C3AED,320,66
